,DYN-HUMAN,DYN-RANDOM,LINRS,NRS,STATIC-HUMAN,STATIC-RANDOM,AC,DYN-HUMAN-P0,DYN-HUMAN-P1,DYN-HUMAN-P2,DYN-HUMAN-P3,DYN-HUMAN-P4,DYN-HUMAN-P5,DYN-HUMAN-P6,DYN-HUMAN-P7,DYN-HUMAN-P8,DYN-HUMAN-P9,STATIC-HUMAN-P0,STATIC-HUMAN-P1,STATIC-HUMAN-P2,STATIC-HUMAN-P3,STATIC-HUMAN-P4,STATIC-HUMAN-P5,STATIC-HUMAN-P6,STATIC-HUMAN-P7,STATIC-HUMAN-P8,STATIC-HUMAN-P9,STATIC-1,STATIC-10,STATIC-100,STATIC-1000,STATIC-10000
61,39,53,250.0,28,39.0,25.0,28.0,25.0,38.0,114.0,23.0,18.0,7.0,52.0,31.0,66.0,44.0,174.0,96.0,33.0,19.0,72.0,81.0,12.0,19.0,28.0,11.0,40.0,250.0,159.0,174.0,27.0
62,19,111,250.0,135,11.0,10.0,14.0,25.0,16.0,44.0,22.0,100.0,8.0,9.0,250.0,59.0,86.0,18.0,52.0,134.0,56.0,20.0,25.0,57.0,40.0,30.0,71.0,250.0,170.0,35.0,18.0,250.0
63,23,52,19.0,146,119.0,61.0,168.0,230.0,23.0,40.0,13.0,100.0,14.0,60.0,134.0,55.0,31.0,100.0,23.0,72.0,46.0,122.0,62.0,92.0,16.0,67.0,100.0,45.0,10.0,157.0,100.0,52.0
64,48,59,11.0,124,250.0,54.0,250.0,77.0,79.0,158.0,21.0,36.0,29.0,90.0,21.0,103.0,40.0,140.0,8.0,72.0,30.0,24.0,123.0,23.0,32.0,48.0,27.0,52.0,83.0,47.0,140.0,116.0
65,20,16,34.0,27,100.0,76.0,31.0,59.0,9.0,36.0,56.0,78.0,34.0,75.0,25.0,18.0,26.0,22.0,65.0,37.0,250.0,129.0,64.0,39.0,67.0,87.0,64.0,250.0,133.0,152.0,22.0,250.0
66,25,204,250.0,26,99.0,161.0,237.0,25.0,13.0,25.0,41.0,70.0,17.0,23.0,250.0,50.0,22.0,250.0,56.0,163.0,61.0,71.0,104.0,37.0,35.0,53.0,36.0,250.0,250.0,21.0,250.0,250.0
67,60,55,196.0,73,40.0,19.0,250.0,22.0,33.0,24.0,52.0,64.0,42.0,57.0,52.0,63.0,64.0,44.0,23.0,32.0,20.0,127.0,11.0,35.0,32.0,66.0,45.0,188.0,24.0,35.0,44.0,34.0
68,8,33,250.0,250,40.0,126.0,20.0,35.0,37.0,33.0,53.0,47.0,32.0,70.0,67.0,37.0,25.0,46.0,27.0,6.0,22.0,61.0,20.0,18.0,134.0,28.0,26.0,70.0,28.0,17.0,46.0,15.0
69,53,48,12.0,43,64.0,87.0,66.0,52.0,54.0,126.0,52.0,14.0,77.0,61.0,21.0,44.0,36.0,146.0,45.0,16.0,15.0,37.0,198.0,61.0,86.0,40.0,22.0,24.0,81.0,22.0,146.0,74.0
70,45,102,250.0,86,18.0,218.0,20.0,38.0,58.0,49.0,74.0,70.0,47.0,54.0,83.0,58.0,111.0,14.0,62.0,42.0,35.0,114.0,101.0,34.0,23.0,15.0,46.0,186.0,121.0,7.0,14.0,9.0
71,66,31,21.0,114,19.0,90.0,14.0,40.0,39.0,109.0,36.0,42.0,36.0,50.0,24.0,49.0,144.0,107.0,31.0,30.0,86.0,41.0,27.0,112.0,26.0,14.0,53.0,15.0,67.0,103.0,107.0,15.0
72,9,78,86.0,14,39.0,40.0,87.0,43.0,56.0,56.0,40.0,44.0,55.0,58.0,169.0,54.0,187.0,49.0,250.0,55.0,37.0,48.0,119.0,27.0,85.0,28.0,135.0,75.0,24.0,15.0,49.0,9.0
73,66,45,118.0,13,68.0,24.0,228.0,136.0,64.0,11.0,71.0,42.0,212.0,73.0,50.0,250.0,250.0,37.0,44.0,20.0,12.0,28.0,25.0,17.0,13.0,13.0,57.0,250.0,88.0,12.0,37.0,15.0
74,46,250,9.0,250,14.0,109.0,82.0,212.0,41.0,30.0,68.0,69.0,28.0,23.0,16.0,74.0,74.0,120.0,47.0,14.0,18.0,27.0,63.0,27.0,15.0,31.0,23.0,135.0,27.0,162.0,120.0,210.0
75,69,92,31.0,34,51.0,99.0,22.0,80.0,37.0,37.0,65.0,68.0,28.0,20.0,71.0,112.0,170.0,22.0,31.0,20.0,37.0,28.0,41.0,101.0,58.0,38.0,178.0,250.0,18.0,40.0,22.0,27.0
76,31,57,18.0,111,133.0,24.0,50.0,19.0,17.0,35.0,91.0,60.0,48.0,76.0,12.0,87.0,250.0,39.0,30.0,51.0,31.0,43.0,48.0,35.0,85.0,31.0,129.0,216.0,17.0,74.0,39.0,30.0
77,67,45,128.0,41,45.0,112.0,66.0,27.0,20.0,58.0,63.0,66.0,168.0,53.0,109.0,44.0,14.0,25.0,110.0,19.0,27.0,14.0,16.0,59.0,24.0,41.0,132.0,181.0,250.0,172.0,25.0,250.0
78,24,56,250.0,250,85.0,29.0,71.0,63.0,17.0,90.0,23.0,42.0,139.0,56.0,63.0,37.0,28.0,46.0,9.0,9.0,56.0,56.0,57.0,75.0,62.0,47.0,49.0,29.0,77.0,41.0,46.0,40.0
79,45,54,19.0,250,63.0,245.0,214.0,37.0,35.0,33.0,44.0,107.0,161.0,18.0,149.0,27.0,40.0,58.0,9.0,40.0,26.0,65.0,18.0,64.0,58.0,62.0,17.0,25.0,110.0,20.0,58.0,250.0
80,168,67,90.0,100,11.0,10.0,87.0,75.0,62.0,51.0,50.0,21.0,74.0,53.0,65.0,127.0,15.0,45.0,16.0,40.0,42.0,21.0,102.0,35.0,25.0,65.0,53.0,41.0,70.0,32.0,45.0,20.0
81,17,97,15.0,250,59.0,52.0,250.0,25.0,56.0,33.0,45.0,24.0,58.0,51.0,19.0,40.0,62.0,15.0,61.0,40.0,53.0,42.0,39.0,10.0,53.0,46.0,67.0,250.0,17.0,250.0,15.0,29.0
82,160,34,45.0,22,16.0,50.0,250.0,250.0,34.0,22.0,58.0,95.0,28.0,27.0,62.0,30.0,40.0,52.0,27.0,37.0,47.0,52.0,23.0,38.0,160.0,39.0,74.0,14.0,44.0,205.0,52.0,127.0
83,13,250,250.0,117,45.0,214.0,14.0,11.0,29.0,38.0,42.0,39.0,20.0,39.0,250.0,14.0,90.0,250.0,10.0,250.0,43.0,121.0,28.0,26.0,28.0,37.0,34.0,91.0,55.0,30.0,250.0,120.0
84,9,94,40.0,224,30.0,87.0,250.0,42.0,63.0,89.0,16.0,19.0,41.0,49.0,23.0,115.0,60.0,13.0,11.0,62.0,17.0,33.0,47.0,106.0,19.0,87.0,11.0,16.0,95.0,82.0,13.0,250.0
85,34,23,127.0,26,24.0,37.0,33.0,117.0,36.0,91.0,96.0,35.0,22.0,21.0,52.0,70.0,50.0,155.0,60.0,79.0,80.0,38.0,97.0,68.0,171.0,106.0,88.0,250.0,18.0,13.0,155.0,20.0
86,61,34,32.0,89,75.0,42.0,212.0,95.0,74.0,41.0,9.0,33.0,23.0,44.0,48.0,62.0,24.0,72.0,56.0,24.0,60.0,59.0,38.0,24.0,34.0,36.0,61.0,43.0,22.0,46.0,72.0,250.0
87,81,16,55.0,31,27.0,40.0,37.0,104.0,55.0,49.0,54.0,43.0,94.0,21.0,57.0,60.0,250.0,19.0,250.0,80.0,7.0,49.0,13.0,140.0,62.0,88.0,56.0,193.0,28.0,37.0,19.0,82.0
88,19,38,30.0,14,73.0,46.0,77.0,9.0,37.0,50.0,65.0,43.0,17.0,94.0,116.0,74.0,65.0,53.0,71.0,85.0,89.0,18.0,13.0,16.0,90.0,250.0,84.0,60.0,250.0,51.0,53.0,43.0
89,6,33,61.0,7,70.0,12.0,250.0,24.0,89.0,92.0,44.0,23.0,95.0,95.0,54.0,28.0,19.0,52.0,54.0,54.0,61.0,35.0,32.0,71.0,112.0,32.0,82.0,154.0,24.0,145.0,52.0,72.0
